C_Initialize	CK_VOID_PTR pInitArgs
C_Finalize	CK_VOID_PTR pReserved
C_GetInfo	CK_INFO_PTR pInfo
C_GetFunctionList	CK_FUNCTION_LIST_PTR_PTR ppFunctionList
C_GetSlotList	CK_BBOOL tokenPresent, CK_SLOT_ID_PTR pSlotList, CK_ULONG_PTR pulCount
C_GetSlotInfo	CK_SLOT_ID slotID, CK_SLOT_INFO_PTR pInfo
C_GetTokenInfo	CK_SLOT_ID slotID, CK_TOKEN_INFO_PTR pInfo
C_GetMechanismList	CK_SLOT_ID slotID, CK_MECHANISM_TYPE_PTR pMechanismList, CK_ULONG_PTR pulCount
C_GetMechanismInfo	CK_SLOT_ID slotID, CK_MECHANISM_TYPE type, CK_MECHANISM_INFO_PTR pInfo
C_InitToken	CK_SLOT_ID slotID, CK_UTF8CHAR_PTR pPin, CK_ULONG ulPinLen, CK_UTF8CHAR_PTR pLabel
C_InitPIN	CK_SESSION_HANDLE hSession, CK_UTF8CHAR_PTR pPin, CK_ULONG ulPinLen
C_SetPIN	CK_SESSION_HANDLE hSession, CK_UTF8CHAR_PTR pOldPin, CK_ULONG ulOldLen, CK_UTF8CHAR_PTR pNewPin, CK_ULONG ulNewLen
C_OpenSession	CK_SLOT_ID slotID, CK_FLAGS flags, CK_VOID_PTR pApplication, CK_NOTIFY Notify, CK_SESSION_HANDLE_PTR phSession
C_CloseSession	CK_SESSION_HANDLE hSession
C_CloseAllSessions	CK_SLOT_ID slotID
C_GetSessionInfo	CK_SESSION_HANDLE hSession, CK_SESSION_INFO_PTR pInfo
C_GetOperationState	CK_SESSION_HANDLE hSession, CK_BYTE_PTR pOperationState, CK_ULONG_PTR pulOperationStateLen
C_SetOperationState	CK_SESSION_HANDLE hSession, CK_BYTE_PTR pOperationState, CK_ULONG ulOperationStateLen, CK_OBJECT_HANDLE hEncryptionKey, CK_OBJECT_HANDLE hAuthenticationKey
C_Login	CK_SESSION_HANDLE hSession, CK_USER_TYPE userType, CK_UTF8CHAR_PTR pPin, CK_ULONG ulPinLen
C_Logout	CK_SESSION_HANDLE hSession
C_CreateObject	CK_SESSION_HANDLE hSession, CK_ATTRIBUTE_PTR pTemplate, CK_ULONG ulCount, CK_OBJECT_HANDLE_PTR phObject
C_CopyObject	CK_SESSION_HANDLE hSession, CK_OBJECT_HANDLE hObject, CK_ATTRIBUTE_PTR pTemplate, CK_ULONG ulCount, CK_OBJECT_HANDLE_PTR phNewObject
C_DestroyObject	CK_SESSION_HANDLE hSession, CK_OBJECT_HANDLE hObject
